No,Codigo,Descripcion,dai,isc,ispc,isv,nivel,nivel-padre,padre,partida
3715,3808.91.50.00,- - - Mirex o declordano,0.05,0.00,0.00,0.00,10,4,3808.91,"- - - Mirex o declordano | - - Insecticidas: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3716,3808.91.90.00,- - - Otros,0.05,0.00,0.00,0.00,10,4,3808.91,"- - - Otros | - - Insecticidas: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3717,3808.92,- - Fungicidas:,0.00,0.00,0.00,0.00,4,3,3808.9,"- - Fungicidas: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3718,3808.92.10.00,"- - - A base de arseniato de cobre cromado, de los tipos utilizados como preservante para madera, en envases de contenido neto superior o igual a 125 kg",0.00,0.00,0.00,0.00,10,4,3808.92,"- - - A base de arseniato de cobre cromado, de los tipos utilizados como preservante para madera, en envases de contenido neto superior o igual a 125 kg | - - Fungicidas: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3719,3808.92.90.00,- - - Otros,0.05,0.00,0.00,0.00,10,4,3808.92,"- - - Otros | - - Fungicidas: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3720,3808.93.00.00,"- - Herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas",0.05,0.00,0.00,0.00,10,3,3808.9,"- - Herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3721,3808.94,- - Desinfectantes:,0.00,0.00,0.00,0.00,4,3,3808.9,"- - Desinfectantes: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3722,3808.94.10.00,- - - A base de aceite de pino y de agentes tensoactivos de amonio cuaternario,0.15,0.00,0.00,0.15,10,4,3808.94,"- - - A base de aceite de pino y de agentes tensoactivos de amonio cuaternario | - - Desinfectantes: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3723,3808.94.90.00,- - - Otros,0.15,0.00,0.00,0.15,10,4,3808.94,"- - - Otros | - - Desinfectantes: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3724,3808.99,- - Los demás:,0.00,0.00,0.00,0.00,4,3,3808.9,"- - Los demás: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3725,3808.99.10.00,- - - Raticidas y demás antiroedores,0.10,0.00,0.00,0.00,10,4,3808.99,"- - - Raticidas y demás antiroedores | - - Los demás: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3726,3808.99.2,- - - Que contengan metilbromuro:,0.00,0.00,0.00,0.00,6,4,3808.99,"- - - Que contengan metilbromuro: | - - Los demás: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3727,3808.99.21.00,"- - - - Que contengan cloropicrina en una
proporción superior o igual al 30 % en peso",0.05,0.00,0.00,0.00,10,6,3808.99.2,"- - - - Que contengan cloropicrina en una
proporción superior o igual al 30 % en peso | - - - Que contengan metilbromuro: | - - Los demás: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3728,3808.99.29.00,- - - - Los demás,0.05,0.00,0.00,0.00,10,6,3808.99.2,"- - - - Los demás | - - - Que contengan metilbromuro: | - - Los demás: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3729,3808.99.30.00,- - - Que contengan cloropicrina en una proporción superior o igual al 30 % en peso distintos de los comprendidos en el inciso arancelario 3808.99.21.00,0.05,0.00,0.00,0.00,10,4,3808.99,"- - - Que contengan cloropicrina en una proporción superior o igual al 30 % en peso distintos de los comprendidos en el inciso arancelario 3808.99.21.00 | - - Los demás: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3730,3808.99.90.00,- - - Otros,0.05,0.00,0.00,0.00,10,4,3808.99,"- - - Otros | - - Los demás: | - Los demás: | Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas"
3731,3809,"APRESTOS Y PRODUCTOS DE ACABADO, ACELERADORES DE TINTURA O DE FIJACIÓN DE MATERIAS COLORANTES Y DEMÁS PRODUCTOS Y PREPARACIONES (POR EJEMPLO: APRESTOS Y MORDIENTES), DE LOS TIPOS UTILIZADOS EN LA INDUSTRIA TEXTIL, DEL PAPEL, DEL CUERO O INDUSTRIAS SIMILARES, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE",0.00,0.00,0.00,0.00,1,0,,"Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes y demás productos y preparaciones (por ejemplo: aprestos y mordientes), de los tipos utilizados en la industria textil, del papel, del cuero o industrias similares, no expresados ni comprendidos en otra parte"
3732,3809.10.00.00,- A base de materias amiláceas,0.05,0.00,0.00,0.15,10,1,3809,"- A base de materias amiláceas | Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes y demás productos y preparaciones (por ejemplo: aprestos y mordientes), de los tipos utilizados en la industria textil, del papel, del cuero o industrias similares, no expresados ni comprendidos en otra parte"
3733,3809.9,- Los demás:,0.00,0.00,0.00,0.00,3,1,3809,"- Los demás: | Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes y demás productos y preparaciones (por ejemplo: aprestos y mordientes), de los tipos utilizados en la industria textil, del papel, del cuero o industrias similares, no expresados ni comprendidos en otra parte"
3734,3809.91.00.00,- - De los tipos utilizados en la industria textil o industrias similares,0.05,0.00,0.00,0.15,10,3,3809.9,"- - De los tipos utilizados en la industria textil o industrias similares | - Los demás: | Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes y demás productos y preparaciones (por ejemplo: aprestos y mordientes), de los tipos utilizados en la industria textil, del papel, del cuero o industrias similares, no expresados ni comprendidos en otra parte"
3735,3809.92.00.00,- - De los tipos utilizados en la industria del papel o industrias similares,0.05,0.00,0.00,0.15,10,3,3809.9,"- - De los tipos utilizados en la industria del papel o industrias similares | - Los demás: | Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes y demás productos y preparaciones (por ejemplo: aprestos y mordientes), de los tipos utilizados en la industria textil, del papel, del cuero o industrias similares, no expresados ni comprendidos en otra parte"
3736,3809.93.00.00,- - De los tipos utilizados en la industria del cuero o industrias similares,0.05,0.00,0.00,0.15,10,3,3809.9,"- - De los tipos utilizados en la industria del cuero o industrias similares | - Los demás: | Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes y demás productos y preparaciones (por ejemplo: aprestos y mordientes), de los tipos utilizados en la industria textil, del papel, del cuero o industrias similares, no expresados ni comprendidos en otra parte"
3737,3810,"PREPARACIONES PARA EL DECAPADO DE METAL; FLUJOS Y DEMÁS PREPARACIONES AUXILIARES PARA SOLDAR METAL; PASTAS Y POLVOS PARA SOLDAR, CONSTITUIDOS POR METAL Y OTROS PRODUCTOS; PREPARACIONES DE LOS TIPOS UTILIZADOS PARA RECUBRIR O RELLENAR ELECTRODOS O VARILLAS DE SOLDADURA",0.00,0.00,0.00,0.00,1,0,,"Preparaciones para el decapado de metal; flujos y demás preparaciones auxiliares para soldar metal; pastas y polvos para soldar, constituidos por metal y otros productos; preparaciones de los tipos utilizados para recubrir o rellenar electrodos o varillas de soldadura"
3738,3810.90.00.00,- Los demás,0.00,0.00,0.00,0.15,10,1,3810,"- Los demás | Preparaciones para el decapado de metal; flujos y demás preparaciones auxiliares para soldar metal; pastas y polvos para soldar, constituidos por metal y otros productos; preparaciones de los tipos utilizados para recubrir o rellenar electrodos o varillas de soldadura"
3739,3811,"PREPARACIONES ANTIDETONANTES, INHIBIDORES DE OXIDACIÓN, ADITIVOS PEPTIZANTES, MEJORADORES DE VISCOSIDAD, ANTICORROSIVOS Y DEMÁS ADITIVOS PREPARADOS PARA ACEITES MINERALES (INCLUIDA LA GASOLINA) U OTROS LÍQUIDOS UTILIZADOS PARA LOS MISMOS FINES QUE LOS ACEITES MINERALES",0.00,0.00,0.00,0.00,1,0,,"Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3740,3811.1,- Preparaciones antidetonantes:,0.00,0.00,0.00,0.00,3,1,3811,"- Preparaciones antidetonantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3741,3811.11.00.00,- - A base de compuestos de plomo,0.05,0.00,0.00,0.15,10,3,3811.1,"- - A base de compuestos de plomo | - Preparaciones antidetonantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3742,3811.19.00.00,- - Las demás,0.05,0.00,0.00,0.15,10,3,3811.1,"- - Las demás | - Preparaciones antidetonantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3743,3811.2,- Aditivos para aceites lubricantes:,0.00,0.00,0.00,0.00,3,1,3811,"- Aditivos para aceites lubricantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3744,3811.21,- - Que contengan aceites de petróleo o de mineral bituminoso:,0.00,0.00,0.00,0.00,4,3,3811.2,"- - Que contengan aceites de petróleo o de mineral bituminoso: | - Aditivos para aceites lubricantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3745,3811.21.10.00,- - - Con un contenido de dichos aceites superior o igual al 30 % pero inferior o igual al 40 %,0.00,0.00,0.00,0.15,10,4,3811.21,"- - - Con un contenido de dichos aceites superior o igual al 30 % pero inferior o igual al 40 % | - - Que contengan aceites de petróleo o de mineral bituminoso: | - Aditivos para aceites lubricantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3746,3811.21.90.00,- - - Otros,0.00,0.00,0.00,0.15,10,4,3811.21,"- - - Otros | - - Que contengan aceites de petróleo o de mineral bituminoso: | - Aditivos para aceites lubricantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3747,3811.29.00.00,- - Los demás,0.00,0.00,0.00,0.15,10,3,3811.2,"- - Los demás | - Aditivos para aceites lubricantes: | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3748,3811.90.00.00,- Los demás,0.05,0.00,0.00,0.15,10,1,3811,"- Los demás | Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los aceites minerales"
3749,3812,"ACELERADORES DE VULCANIZACIÓN PREPARADOS; PLASTIFICANTES COMPUESTOS PARA CAUCHO O PLÁSTICO, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE; PREPARACIONES ANTIOXIDANTES Y DEMÁS ESTABILIZANTES COMPUESTOS PARA CAUCHO O PLÁSTICO",0.00,0.00,0.00,0.00,1,0,,"Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3750,3812.10.00.00,- Aceleradores de vulcanización preparados,0.00,0.00,0.00,0.15,10,1,3812,"- Aceleradores de vulcanización preparados | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3751,3812.20.00.00,- Plastificantes compuestos para caucho o plástico,0.05,0.00,0.00,0.15,10,1,3812,"- Plastificantes compuestos para caucho o plástico | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3752,3812.3,- Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico:,0.00,0.00,0.00,0.00,3,1,3812,"- Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico: | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3753,3812.31.00.00,"- - Mezclas de oligómeros de 2,2,4-trimetil-1,2- dihidroquinoleína (TMQ)",0.00,0.00,0.00,0.15,10,3,3812.3,"- - Mezclas de oligómeros de 2,2,4-trimetil-1,2- dihidroquinoleína (TMQ) | - Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico: | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3754,3812.39,- - Los demás:,0.00,0.00,0.00,0.00,4,3,3812.3,"- - Los demás: | - Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico: | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3755,3812.39.10.00,- - - Para caucho,0.00,0.00,0.00,0.15,10,4,3812.39,"- - - Para caucho | - - Los demás: | - Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico: | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3756,3812.39.2,- - - Para plástico:,0.00,0.00,0.00,0.00,6,4,3812.39,"- - - Para plástico: | - - Los demás: | - Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico: | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3757,3812.39.21.00,"- - - - Estabilizantes a base de sales orgánicas de metales pesados, para poli(cloruro de vinilo) (PVC)",0.00,0.00,0.00,0.15,10,6,3812.39.2,"- - - - Estabilizantes a base de sales orgánicas de metales pesados, para poli(cloruro de vinilo) (PVC) | - - - Para plástico: | - - Los demás: | - Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico: | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3758,3812.39.29.00,- - - - Los demás,0.00,0.00,0.00,0.15,10,6,3812.39.2,"- - - - Los demás | - - - Para plástico: | - - Los demás: | - Preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico: | Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico"
3759,3813.00.00.00,PREPARACIONES Y CARGAS PARA APARATOS EXTINTORES; GRANADAS Y BOMBAS EXTINTORAS,0.00,0.00,0.00,0.15,10,0,,#N/A
3760,3814,"DISOLVENTES Y DILUYENTES ORGÁNICOS COMPUESTOS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE; PREPARACIONES PARA QUITAR PINTURAS O BARNICES",0.00,0.00,0.00,0.00,1,0,,"Disolventes y diluyentes orgánicos compuestos, no expresados ni comprendidos en otra parte; preparaciones para quitar pinturas o barnices"
3761,3814.00.10.00,- Disolventes y diluyentes,0.05,0.00,0.00,0.15,10,1,3814,"- Disolventes y diluyentes | Disolventes y diluyentes orgánicos compuestos, no expresados ni comprendidos en otra parte; preparaciones para quitar pinturas o barnices"
3762,3814.00.90.00,- Otras,0.00,0.00,0.00,0.15,10,1,3814,"- Otras | Disolventes y diluyentes orgánicos compuestos, no expresados ni comprendidos en otra parte; preparaciones para quitar pinturas o barnices"
3763,3815,"INICIADORES Y ACELERADORES DE REACCIÓN Y PREPARACIONES CATALÍTICAS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE",0.00,0.00,0.00,0.00,1,0,,"Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3764,3815.1,- Catalizadores sobre soporte:,0.00,0.00,0.00,0.00,3,1,3815,"- Catalizadores sobre soporte: | Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3765,3815.11.00.00,- - Con níquel o sus compuestos como sustancia activa,0.00,0.00,0.00,0.15,10,3,3815.1,"- - Con níquel o sus compuestos como sustancia activa | - Catalizadores sobre soporte: | Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3766,3815.12.00.00,- - Con metal precioso o sus compuestos como sustancia activa,0.00,0.00,0.00,0.15,10,3,3815.1,"- - Con metal precioso o sus compuestos como sustancia activa | - Catalizadores sobre soporte: | Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3767,3815.19.00.00,- - Los demás,0.00,0.00,0.00,0.15,10,3,3815.1,"- - Los demás | - Catalizadores sobre soporte: | Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3768,3815.9,- Los demás:,0.00,0.00,0.00,0.00,3,1,3815,"- Los demás: | Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3769,3815.90.10.00,- - Catalizadores a base de peróxido de metiletilcetona o de compuestos de cobalto orgánicos,0.10,0.00,0.00,0.15,10,3,3815.9,"- - Catalizadores a base de peróxido de metiletilcetona o de compuestos de cobalto orgánicos | - Los demás: | Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3770,3815.90.90.00,- - Otros,0.00,0.00,0.00,0.15,10,3,3815.9,"- - Otros | - Los demás: | Iniciadores y aceleradores de reacción y preparaciones catalíticas, no expresados ni comprendidos en otra parte"
3771,3816,"CEMENTOS, MORTEROS, HORMIGONES Y PREPARACIONES SIMILARES, REFRACTARIOS, INCLUIDO EL AGLOMERADO DE DOLOMITA, EXCEPTO LOS PRODUCTOS DE LA PARTIDA 38.01",0.00,0.00,0.00,0.00,1,0,,"Cementos, morteros, hormigones y preparaciones similares, refractarios, incluido el aglomerado de dolomita, excepto los productos de la partida 38.01"
3772,3816.00.10.00,- Aglomerado de dolomita,0.05,0.00,0.00,0.15,10,1,3816,"- Aglomerado de dolomita | Cementos, morteros, hormigones y preparaciones similares, refractarios, incluido el aglomerado de dolomita, excepto los productos de la partida 38.01"
3773,3816.00.90.00,- Otros,0.00,0.00,0.00,0.15,10,1,3816,"- Otros | Cementos, morteros, hormigones y preparaciones similares, refractarios, incluido el aglomerado de dolomita, excepto los productos de la partida 38.01"
3774,3817,"MEZCLAS DE ALQUILBENCENOS Y MEZCLAS DE ALQUILNAFTALENOS, EXCEPTO LAS DE LAS PARTIDAS 27.07 o 29.02",0.00,0.00,0.00,0.00,1,0,,"Mezclas de alquilbencenos y mezclas de alquilnaftalenos, excepto las de las partidas 27.07 o 29.02"
3775,3817.00.10.00,- Mezclas de alquilbencenos,0.00,0.00,0.00,0.15,10,1,3817,"- Mezclas de alquilbencenos | Mezclas de alquilbencenos y mezclas de alquilnaftalenos, excepto las de las partidas 27.07 o 29.02"
3776,3817.00.20.00,- Mezclas de alquilnaftalenos,0.00,0.00,0.00,0.15,10,1,3817,"- Mezclas de alquilnaftalenos | Mezclas de alquilbencenos y mezclas de alquilnaftalenos, excepto las de las partidas 27.07 o 29.02"
3777,3818.00.00.00,"ELEMENTOS QUÍMICOS DOPADOS PARA USO EN ELECTRÓNICA, EN DISCOS, OBLEAS (""WAFERS"") O FORMAS ANÁLOGAS; COMPUESTOS QUÍMICOS DOPADOS PARA USO EN ELECTRÓNICA",0.00,0.00,0.00,0.15,10,0,,#N/A
3778,3819.00.00.00,"LÍQUIDOS PARA FRENOS HIDRÁULICOS Y DEMÁS LÍQUIDOS PREPARADOS PARA TRANSMISIONES HIDRÁULICAS, SIN ACEITES DE PETRÓLEO NI DE MINERAL BITUMINOSO O CON UN CONTENIDO INFERIOR AL 70 % EN PESO DE DICHOS ACEITES",0.10,0.00,0.00,0.15,10,0,,#N/A
3779,3820.00.00.00,PREPARACIONES ANTICONGELANTES Y LÍQUIDOS PREPARADOS PARA DESCONGELAR,0.05,0.00,0.00,0.15,10,0,,#N/A
3780,3821,"MEDIOS DE CULTIVO PREPARADOS PARA EL DESARROLLO O MANTENIMIENTO DE MICROORGANISMOS (INCLUIDOS LOS VIRUS Y ORGANISMOS SIMILARES) O DE CÉLULAS VEGETALES, HUMANAS O ANIMALES",0.00,0.00,0.00,0.00,1,0,,"Medios de cultivo preparados para el desarrollo o mantenimiento de microorganismos (incluidos los virus y organismos similares) o de células vegetales, humanas o animales"
3781,3821.00.10.00,- Medios de cultivo preparados para el desarrollo o mantenimiento de microorganismos (incluidos los virus y organismos similares),0.00,0.00,0.00,0.15,10,1,3821,"- Medios de cultivo preparados para el desarrollo o mantenimiento de microorganismos (incluidos los virus y organismos similares) | Medios de cultivo preparados para el desarrollo o mantenimiento de microorganismos (incluidos los virus y organismos similares) o de células vegetales, humanas o animales"
3782,3821.00.20.00,"- Medios de cultivo preparados para el desarrollo o mantenimiento de células vegetales, humanas o animales",0.10,0.00,0.00,0.15,10,1,3821,"- Medios de cultivo preparados para el desarrollo o mantenimiento de células vegetales, humanas o animales | Medios de cultivo preparados para el desarrollo o mantenimiento de microorganismos (incluidos los virus y organismos similares) o de células vegetales, humanas o animales"
3783,3822,"REACTIVOS DE DIAGNÓSTICO O DE LABORATORIO SOBRE CUALQUIER SOPORTE Y REACTIVOS DE DIAGNÓSTICO O DE LABORATORIO PREPARADOS, INCLUSO SOBRE SOPORTE, INCLUSO PRESENTADOS EN KITS, EXCEPTO LOS DE LA PARTIDA 30.06; MATERIALES DE REFERENCIA CERTIFICADOS",0.00,0.00,0.00,0.00,1,0,,"Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits, excepto los de la partida 30.06; materiales de referencia certificados"
3784,3822.1,"- Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits:",0.00,0.00,0.00,0.00,3,1,3822,"- Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits: | Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits, excepto los de la partida 30.06; materiales de referencia certificados"
3785,3822.11.00.00,- - Para la malaria (paludismo),0.00,0.00,0.00,0.00,10,3,3822.1,"- - Para la malaria (paludismo) | - Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits: | Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits, excepto los de la partida 30.06; materiales de referencia certificados"
3786,3822.12.00.00,- - Para el Zika y demás enfermedades transmitidas por mosquitos del género Aedes,0.00,0.00,0.00,0.00,10,3,3822.1,"- - Para el Zika y demás enfermedades transmitidas por mosquitos del género Aedes | - Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits: | Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, incluso presentados en kits, excepto los de la partida 30.06; materiales de referencia certificados"
